"Region","Año","Denuncias","Detenciones","Ratio_Detenciones_Denuncias","Diferencia"
"Antofagasta",2024,52118,11626,22.3070724126022,40492
"Arica y Parinacota",2024,22141,4790,21.6340725351158,17351
"Atacama",2024,23395,4065,17.3755075870913,19330
"Aysén",2024,9083,1865,20.5328635913245,7218
"Biobío",2024,117938,19400,16.4493208295884,98538
"Coquimbo",2024,68798,9386,13.6428384546062,59412
"La Araucanía",2024,76347,15588,20.4173051986326,60759
"Los Lagos",2024,84015,13890,16.5327620067845,70125
"Los Ríos",2024,33127,5460,16.4820237268693,27667
"Magallanes",2024,8955,1737,19.3969849246231,7218
"Maule",2024,81333,11237,13.8160402296731,70096
"Metropolitana",2024,581028,62506,10.7578292268187,518522
"O'Higgins",2024,77325,14088,18.2192046556741,63237
"Tarapacá",2024,30143,6707,22.2506054473675,23436
"Valparaíso",2024,153722,25771,16.7646790960305,127951
"Ñuble",2024,37862,5877,15.5221594210554,31985
