"Region","Año","Denuncias","Detenciones","Ratio_Detenciones_Denuncias","Diferencia"
"Antofagasta",2015,54042,18121,33.5313274860294,35921
"Antofagasta",2016,48140,17171,35.6688824262568,30969
"Antofagasta",2017,49018,16595,33.8549104410625,32423
"Antofagasta",2018,47216,16369,34.668332768553,30847
"Antofagasta",2019,53680,17220,32.0789865871833,36460
"Antofagasta",2020,37679,24573,65.2166989569787,13106
"Antofagasta",2021,40273,16074,39.9125965286917,24199
"Antofagasta",2022,47646,12327,25.8720564160685,35319
"Antofagasta",2023,49109,13336,27.1559184670834,35773
"Antofagasta",2024,52118,11626,22.3070724126022,40492
"Arica y Parinacota",2015,16198,4861,30.0098777626868,11337
"Arica y Parinacota",2016,16130,5164,32.0148791072536,10966
"Arica y Parinacota",2017,17335,4802,27.7011825785982,12533
"Arica y Parinacota",2018,18633,5441,29.2008801588579,13192
"Arica y Parinacota",2019,18288,5305,29.0080927384077,12983
"Arica y Parinacota",2020,15220,8095,53.1865965834428,7125
"Arica y Parinacota",2021,17276,5379,31.1356795554527,11897
"Arica y Parinacota",2022,19382,4528,23.361882158704,14854
"Arica y Parinacota",2023,21179,4535,21.4127201473157,16644
"Arica y Parinacota",2024,22141,4790,21.6340725351158,17351
"Atacama",2015,21324,6460,30.2945038454324,14864
"Atacama",2016,21717,6407,29.5022332734724,15310
"Atacama",2017,21158,6228,29.4356744493809,14930
"Atacama",2018,21441,7011,32.6990345599552,14430
"Atacama",2019,24519,7260,29.6096904441454,17259
"Atacama",2020,20130,7632,37.9135618479881,12498
"Atacama",2021,19735,5459,27.6615150747403,14276
"Atacama",2022,22696,4864,21.4310891787099,17832
"Atacama",2023,23271,4807,20.6566112328649,18464
"Atacama",2024,23395,4065,17.3755075870913,19330
"Aysén",2015,9108,2035,22.3429951690821,7073
"Aysén",2016,8731,2170,24.8539686175696,6561
"Aysén",2017,8526,1828,21.4403002580342,6698
"Aysén",2018,9042,1834,20.2831232028312,7208
"Aysén",2019,9203,1795,19.504509399109,7408
"Aysén",2020,8082,2636,32.6156891858451,5446
"Aysén",2021,8459,1978,23.3833786499586,6481
"Aysén",2022,7469,1851,24.7824340607846,5618
"Aysén",2023,8096,1977,24.4194664031621,6119
"Aysén",2024,9083,1865,20.5328635913245,7218
"Biobío",2015,108094,23814,22.0308250226655,84280
"Biobío",2016,105113,22324,21.2380961441496,82789
"Biobío",2017,100531,22217,22.0996508539654,78314
"Biobío",2018,103152,23787,23.060144253141,79365
"Biobío",2019,101553,25060,24.6767697655411,76493
"Biobío",2020,82948,35925,43.3102666730964,47023
"Biobío",2021,89114,29597,33.2125143075162,59517
"Biobío",2022,106304,19253,18.1112658037327,87051
"Biobío",2023,110595,20939,18.9330439893304,89656
"Biobío",2024,117938,19400,16.4493208295884,98538
"Coquimbo",2015,47570,10203,21.4483918435989,37367
"Coquimbo",2016,50680,10248,20.2209944751381,40432
"Coquimbo",2017,56776,10680,18.8107651120192,46096
"Coquimbo",2018,61464,11825,19.2389040739295,49639
"Coquimbo",2019,65618,12042,18.3516717973727,53576
"Coquimbo",2020,60771,13517,22.2425169900117,47254
"Coquimbo",2021,55190,11279,20.4366733103823,43911
"Coquimbo",2022,62319,8921,14.3150564033441,53398
"Coquimbo",2023,63240,9426,14.9051233396584,53814
"Coquimbo",2024,68798,9386,13.6428384546062,59412
"La Araucanía",2015,69195,14024,20.2673603584074,55171
"La Araucanía",2016,68058,14090,20.7029298539481,53968
"La Araucanía",2017,69667,14794,21.235305094234,54873
"La Araucanía",2018,70984,15162,21.3597430406852,55822
"La Araucanía",2019,72353,15368,21.240307934709,56985
"La Araucanía",2020,55669,19334,34.7302807666744,36335
"La Araucanía",2021,56707,15422,27.1959370095403,41285
"La Araucanía",2022,64197,11863,18.4790566537377,52334
"La Araucanía",2023,71890,14843,20.6468215328975,57047
"La Araucanía",2024,76347,15588,20.4173051986326,60759
"Los Lagos",2015,63836,13561,21.2434989661006,50275
"Los Lagos",2016,64605,13105,20.2848076774244,51500
"Los Lagos",2017,64529,13770,21.3392428210572,50759
