"Region","Denuncias_2024","Detenciones_2024","Total_Casos_2024","Proporcion_Nacional","Tasa_Relativa"
"Arica y Parinacota",22141,4790,26931,1.61,0.26
"Tarapacá",30143,6707,36850,2.2,0.35
"Antofagasta",52118,11626,63744,3.81,0.61
"Atacama",23395,4065,27460,1.64,0.26
"Coquimbo",68798,9386,78184,4.68,0.75
"Valparaíso",153722,25771,179493,10.74,1.72
"Metropolitana",581028,62506,643534,38.5,6.16
"O'Higgins",77325,14088,91413,5.47,0.88
"Maule",81333,11237,92570,5.54,0.89
"Ñuble",37862,5877,43739,2.62,0.42
"Biobío",117938,19400,137338,8.22,1.31
"La Araucanía",76347,15588,91935,5.5,0.88
"Los Ríos",33127,5460,38587,2.31,0.37
"Los Lagos",84015,13890,97905,5.86,0.94
"Aysén",9083,1865,10948,0.66,0.1
"Magallanes",8955,1737,10692,0.64,0.1
